text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
@JCBOYD_SPORT360 Bran Stark,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 23:57:42,jcboyd_sport360 bran stark
Bran Stark on the iron throne.....,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 23:49:11,bran stark on the iron throne
"@GabyMeza8 @StellaArtoisMx 1.- Bran Stark.
2.- @Crzy_Af 🌚",05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 23:43:19,gabymeza8 stellaartoismx 1 bran stark 2 crzy_af
"@PantherFan87 @thronesfacts @esquire I followed the journey of #Daenerys,  #JonSnow , #Arya,  and #BranStark ...

N… https://t.co/RBSGV8qOyL",05/18/2019,Bran Stark,Neu,0.0,0.0,05/18/2019 23:43:17,pantherfan87 thronesfacts esquire followed the journey of daenerys jonsnow arya and branstark http co rbsgv8qoyl
Bran Stark #GameofThrones https://t.co/KeVhTqbfPu,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 23:36:16,bran stark gameofthrones http co kevhtqbfpu
RT @Akhiabid: Bran Stark will end up on the Iron Throne👍,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 23:31:56,rt akhiabid bran stark will end up on the iron throne
RT @Akhiabid: Bran Stark will end up on the Iron Throne👍,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 23:31:30,rt akhiabid bran stark will end up on the iron throne
"My impression after watching s8 ep5
#DaenerysTargaryen #GameOfThrones      #JonSnow #NightKing #CerseiLannister … https://t.co/o9icdUV7Dw",05/18/2019,Bran Stark,Neu,0.0,0.0,05/18/2019 23:30:39,my impression after watching s8 ep5 daenerystargaryen gameofthrones jonsnow nightking cerseilannister http co o9icduv7dw
Bran Stark will end up on the Iron Throne👍,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 23:24:13,bran stark will end up on the iron throne
I just woke up from a dream in which memsahib and I have moved to live in a house by a river and there was this ann… https://t.co/rmpZmtwLmZ,05/18/2019,Bran Stark,Pos,0.13636363636363635,0.5,05/18/2019 23:16:03,i just woke up from dream in which memsahib and have moved to live in house by river and there wa this ann http co rmpzmtwlmz
"Who will be the king of the seven kingdoms....
#GameOfThrones
#BranStark #Johnsnow #Daenerys",05/18/2019,Bran Stark,Neu,0.0,0.0,05/18/2019 23:15:49,who will be the king of the seven kingdom gameofthrones branstark johnsnow daenerys
@ramzimort Bran Stark all the way,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 23:14:49,ramzimort bran stark all the way
Bran stark will be the king of the seven kingdoms... Mark my words.,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 23:10:12,bran stark will be the king of the seven kingdom mark my word
"RT @someecards: Is Bran evil, or is he just a weirdo? https://t.co/jrpYqyTocG",05/18/2019,Bran Stark,Neg,-1.0,1.0,05/18/2019 23:05:46,rt someecards is bran evil or is he just weirdo http co jrpyqytocg
"RT @TheKingIsh_: In S1E1, Jaime Lannister pushes Bran Stark out of a window. This is subtle foreshadowing by David Benioff and Dan Weiss fo…",05/18/2019,Bran Stark,Neg,-0.26666666666666666,0.55,05/18/2019 23:03:30,rt thekingish_ in s1e1 jaime lannister push bran stark out of window this is subtle foreshadowing by david benioff and dan wei fo
"RT @TheKingIsh_: In S1E1, Jaime Lannister pushes Bran Stark out of a window. This is subtle foreshadowing by David Benioff and Dan Weiss fo…",05/18/2019,Bran Stark,Neg,-0.26666666666666666,0.55,05/18/2019 23:02:43,rt thekingish_ in s1e1 jaime lannister push bran stark out of window this is subtle foreshadowing by david benioff and dan wei fo
"RT @TheKingIsh_: In S1E1, Jaime Lannister pushes Bran Stark out of a window. This is subtle foreshadowing by David Benioff and Dan Weiss fo…",05/18/2019,Bran Stark,Neg,-0.26666666666666666,0.55,05/18/2019 23:02:20,rt thekingish_ in s1e1 jaime lannister push bran stark out of window this is subtle foreshadowing by david benioff and dan wei fo
"RT @someecards: Is Bran evil, or is he just a weirdo? https://t.co/jrpYqyTocG",05/18/2019,Bran Stark,Neg,-1.0,1.0,05/18/2019 23:02:19,rt someecards is bran evil or is he just weirdo http co jrpyqytocg
"Is Bran evil, or is he just a weirdo? https://t.co/jrpYqyTocG",05/18/2019,Bran Stark,Neg,-1.0,1.0,05/18/2019 23:01:02,is bran evil or is he just weirdo http co jrpyqytocg
@Azoz_Alzamil Bran Stark,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 22:53:01,azoz_alzamil bran stark
@HebMT Bran stark,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 22:51:50,hebmt bran stark
I will not bend the knee to Bran Stark,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 22:50:25,i will not bend the knee to bran stark
@WIRED Bran Stark will sit on the Iron Throne,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 22:50:13,wired bran stark will sit on the iron throne
@LouisPeitzman The writers of  #GameofThrones  made certain Bran Stark ordered Sam to tell Jon Snow who he really i… https://t.co/dNiKNYED6J,05/18/2019,Bran Stark,Pos,0.07142857142857142,0.4571428571428571,05/18/2019 22:48:18,louispeitzman the writer of gameofthrones made certain bran stark ordered sam to tell jon snow who he really http co dniknyed6j
Im gonna lose it if Bran Stark wins the game of thrones.,05/18/2019,Bran Stark,Neg,-0.10000000000000002,0.4000000000000001,05/18/2019 22:46:33,im gonna lose it if bran stark win the game of throne
I heard Bran Stark has the Iron Throne,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 22:46:12,i heard bran stark ha the iron throne
@kryndaruh Bran stark mais 😭😭😭,05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 22:43:53,kryndaruh bran stark mais
The writers of  #GameofThrones made certain Bran Stark ordered Sam to tell Jon Snow who he really is at a specific… https://t.co/sZd6rHTWsc,05/18/2019,Bran Stark,Pos,0.07142857142857142,0.4571428571428571,05/18/2019 22:35:14,the writer of gameofthrones made certain bran stark ordered sam to tell jon snow who he really is at specific http co szd6rhtwsc
RT @jpbrammer: Jaime Lannister before he threw Bran Stark out the window for catching him with Cersei https://t.co/G07CpPEidz,05/18/2019,Bran Stark,Pos,0.19999999999999998,0.75,05/18/2019 22:33:05,rt jpbrammer jaime lannister before he threw bran stark out the window for catching him with cersei http co g07cppeidz
RT @jpbrammer: Jaime Lannister before he threw Bran Stark out the window for catching him with Cersei https://t.co/G07CpPEidz,05/18/2019,Bran Stark,Pos,0.19999999999999998,0.75,05/18/2019 22:31:51,rt jpbrammer jaime lannister before he threw bran stark out the window for catching him with cersei http co g07cppeidz
"BRAN STARK sits on the IRON THRONE.

Who saw that coming?? #GameofThrones #GOTepisode8
#GameofThronesEpisode8",05/18/2019,Bran Stark,Neg,-0.2,0.6,05/18/2019 22:31:35,bran stark sits on the iron throne who saw that coming gameofthrones gotepisode8 gameofthronesepisode8
"RT @TheKingIsh_: In S1E1, Jaime Lannister pushes Bran Stark out of a window. This is subtle foreshadowing by David Benioff and Dan Weiss fo…",05/18/2019,Bran Stark,Neg,-0.26666666666666666,0.55,05/18/2019 22:27:05,rt thekingish_ in s1e1 jaime lannister push bran stark out of window this is subtle foreshadowing by david benioff and dan wei fo
"RT @Vladimir_furdik: How did the #NightKing change Craster's babies?

By touching them.

How did he change Viserion?

By touching it.

What…",05/18/2019,Bran Stark,Pos,0.5,0.5,05/18/2019 22:26:52,rt vladimir_furdik how did the nightking change craster baby by touching them how did he change viserion by touching it what
"@banebutwoke Bran Stark, you gotta see this kid believe me *Trump rolls his eyes back* ""Uuuh I'm a bird who knows e… https://t.co/HqgWrkrspV",05/18/2019,Bran Stark,Neg,-0.1,0.3,05/18/2019 22:26:03,banebutwoke bran stark you gotta see this kid believe me trump roll his eye back uuuh m bird who know http co hqgwrkrspv
RT @jpbrammer: Jaime Lannister before he threw Bran Stark out the window for catching him with Cersei https://t.co/G07CpPEidz,05/18/2019,Bran Stark,Pos,0.19999999999999998,0.75,05/18/2019 22:24:55,rt jpbrammer jaime lannister before he threw bran stark out the window for catching him with cersei http co g07cppeidz
