text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
RT @cari_guevara: Missandei and Grey Worm deserved better #GameofThrones https://t.co/okORKEsxQm,05/12/2019,Missandei,Pos,0.225,0.3,05/12/2019 23:59:36,rt cari_guevara missandei and grey worm deserved better gameofthrones http co okorkesxqm
RT @IronThroneMemes: Wow so Greyworm isn’t gonna date Missandei anymore just because someone cut off a part of her? What a hypocrite. #Game…,05/12/2019,Missandei,Pos,0.1,1.0,05/12/2019 23:58:46,rt ironthronememes wow so greyworm isn gonna date missandei anymore just because someone cut off part of her what hypocrite game
"I mean, she’s truly been through a metric fuck ton of shit, and just in the last two episodes she’s lost Jorah, Rha… https://t.co/b2Wzt9IVdZ",05/12/2019,Missandei,Neg,-0.22812500000000002,0.5385416666666668,05/12/2019 23:58:31,i mean she truly been through metric fuck ton of shit and just in the last two episode she lost jorah rha http co b2wzt9ivdz
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:58:10,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:57:57,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
I still can’t believe Missandei is gone 🤧,05/12/2019,Missandei,Neu,0.0,0.0,05/12/2019 23:57:50,i still can believe missandei is gone
RT @cari_guevara: Missandei and Grey Worm deserved better #GameofThrones https://t.co/okORKEsxQm,05/12/2019,Missandei,Pos,0.225,0.3,05/12/2019 23:57:35,rt cari_guevara missandei and grey worm deserved better gameofthrones http co okorkesxqm
RT @ViSneakerBoy: Greyworm gotta go John Wick with kills this episode for Missandei.,05/12/2019,Missandei,Neu,0.0,0.0,05/12/2019 23:57:20,rt visneakerboy greyworm gotta go john wick with kill this episode for missandei
@raread It's so weird since none of the characters say Missandei's name that way. Only Tyrion uses Cersei's name th… https://t.co/axEEMTXs5O,05/12/2019,Missandei,Neg,-0.25,1.0,05/12/2019 23:57:14,raread it so weird since none of the character say missandei name that way only tyrion us cersei name th http co axeemtxs5o
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:57:04,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
Wow so Greyworm isn’t gonna date Missandei anymore just because someone cut off a part of her? What a hypocrite.… https://t.co/K3ZP5mCALt,05/12/2019,Missandei,Pos,0.1,1.0,05/12/2019 23:56:16,wow so greyworm isn gonna date missandei anymore just because someone cut off part of her what hypocrite http co k3zp5mcalt
RT @aIfiealIen: daenerys tonight trying to brush her own hair without missandei https://t.co/b9odDmbnzc,05/12/2019,Missandei,Pos,0.6,1.0,05/12/2019 23:56:15,rt aifiealien daenerys tonight trying to brush her own hair without missandei http co b9oddmbnzc
"RT @IronThroneMemes: #GameofThrones #GOT #DemThrones

Daenerys trying to do her hair next episode without Missandei https://t.co/JeL1lK4j6Q",05/12/2019,Missandei,Neu,0.0,0.0,05/12/2019 23:56:01,rt ironthronememes gameofthrones got demthrones daenerys trying to do her hair next episode without missandei http co jel1lk4j6q
RT @uItramaIfoy: daenerys trying to do her hair next episode without missandei https://t.co/G74xil5IBB,05/12/2019,Missandei,Neu,0.0,0.0,05/12/2019 23:55:42,rt uitramaifoy daenerys trying to do her hair next episode without missandei http co g74xil5ibb
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:55:11,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:55:05,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
Justice for Missandei x,05/12/2019,Missandei,Neu,0.0,0.0,05/12/2019 23:54:53,justice for missandei x
"RT @IronThroneMemes: Daenerys trying to do her hair without Missandei 

#DemThrones #GOT #GameofThrones https://t.co/DMuGIsP18U",05/12/2019,Missandei,Neu,0.0,0.0,05/12/2019 23:54:35,rt ironthronememes daenerys trying to do her hair without missandei demthrones got gameofthrones http co dmugisp18u
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:54:32,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
"RT @GameOfThrones: Dracarys. 
View the Beautiful Death for ""The Last of the Starks"" by @RobertMBall for the final season of #GameofThrones:…",05/12/2019,Missandei,Pos,0.2833333333333333,0.6888888888888888,05/12/2019 23:54:28,rt gameofthrones dracarys view the beautiful death for the last of the starks by robertmball for the final season of gameofthrones
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:54:15,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:54:12,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:54:09,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:53:23,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:53:17,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:53:14,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
RT @dopegirlfresh: after last week i demand massive bloodshed. i want to see kings landing go up like kindling. i want revenge for missande…,05/12/2019,Missandei,Neu,0.0,0.5333333333333333,05/12/2019 23:52:43,rt dopegirlfresh after last week demand massive bloodshed want to see king landing go up like kindling want revenge for missande
"RT @ELLEmagazine: ""In her last breath she's like, 'Burn them all! Burn these f*ckers to the ground.'"" ELLE spoke to #GoTS8 star @missnemman…",05/12/2019,Missandei,Neu,0.0,0.06666666666666667,05/12/2019 23:52:25,rt ellemagazine in her last breath she like burn them all burn these ckers to the ground elle spoke to gots8 star missnemman
"RT @CamiNizzo: If any of them had listened to Sansa they would still have two dragons, a fleet, Missandei's head on her shoulders, a chance…",05/12/2019,Missandei,Neu,0.0,0.0,05/12/2019 23:52:25,rt caminizzo if any of them had listened to sansa they would still have two dragon fleet missandei head on her shoulder chance
