text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
@guarencilla Sansa Stark?,05/11/2019,SansaStark,Neg,-0.2,0.6,05/11/2019 23:57:37,guarencilla sansa stark
RT @OnePerfectShot: #GameofThrones has put #SansaStark through a lot. But she's survived and she's learned and she's built power. She's a f…,05/11/2019,SansaStark,Neu,0.0,0.0,05/11/2019 23:56:24,rt oneperfectshot gameofthrones ha put sansastark through lot but she survived and she learned and she built power she a
#GameofThrones has put #SansaStark through a lot. But she's survived and she's learned and she's built power. She's… https://t.co/XfgDVsqXzX,05/11/2019,SansaStark,Neu,0.0,0.0,05/11/2019 23:56:06,gameofthrones ha put sansastark through lot but she survived and she learned and she built power she http co xfgdvsqxzx
"Sansa of House Stark, First of Her Name, Queen of the Andals and the First Men, Lady of the Seven Kingdoms, Queen o… https://t.co/Y4mRacmIhr",05/11/2019,SansaStark,Pos,0.09999999999999999,0.4222222222222222,05/11/2019 23:50:54,sansa of house stark first of her name queen of the andals and the first men lady of the seven kingdom queen http co y4mracmihr
Sansa Stark is fucking Annoying!!,05/11/2019,SansaStark,Neg,-0.6,0.75,05/11/2019 23:41:50,sansa stark is fucking annoying
"RT @MysaTheLesbian: goodnight, I love Sansa Stark of Winterfell and I hope she’s doing well 😌",05/11/2019,SansaStark,Pos,0.15,0.6,05/11/2019 23:41:03,rt mysathelesbian goodnight love sansa stark of winterfell and hope she doing well
I also no longer despise Sansa Stark. She has outgrown her inner eediat... Or did she......,05/11/2019,SansaStark,Neg,-0.1,0.3833333333333333,05/11/2019 23:37:54,i also no longer despise sansa stark she ha outgrown her inner eediat or did she
RT @odairannies: sansa stark may not have dragons but she's still roasting https://t.co/zmEIVE2sSA,05/11/2019,SansaStark,Neg,-0.2,0.6,05/11/2019 23:37:40,rt odairannies sansa stark may not have dragon but she still roasting http co zmeive2ssa
RT @allabout_ERIKA: @camiIIiepreaker I’m convinced that Sophie Turner is wayyyy cooler than Sansa Stark.,05/11/2019,SansaStark,Neg,-0.2,0.6,05/11/2019 23:36:47,rt allabout_erika camiiiiepreaker m convinced that sophie turner is wayyyy cooler than sansa stark
"Person next to me on an airplane minding their own business:

Me:  so yeah that’s why Sansa Stark has the best char… https://t.co/YF6f2atTfa",05/11/2019,SansaStark,Pos,0.35,0.47500000000000003,05/11/2019 23:32:42,person next to me on an airplane minding their own business me so yeah that why sansa stark ha the best char http co yf6f2attfa
RT @sansaastcrk: in conclusion: sansa stark is the most beautiful woman alive https://t.co/s33XwryqMn,05/11/2019,SansaStark,Pos,0.3125,0.625,05/11/2019 23:32:42,rt sansaastcrk in conclusion sansa stark is the most beautiful woman alive http co s33xwryqmn
"RT @sansatsark: rt to be in a sansa stark gc!!!!! the rules are simple:
- keep ya DMs open
- don’t like... start drama
- gotta stan sansa s…",05/11/2019,SansaStark,Neg,-0.20345052083333334,0.4857142857142857,05/11/2019 23:31:15,rt sansatsark rt to be in sansa stark gc the rule are simple keep ya dm open don like start drama gotta stan sansa
