text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
RT @lovelysophiet: · · ✹ Sansa Stark saying goodbye to Theon Greyjoy + Florence. https://t.co/4nnie39ZAq,05/11/2019,Theo Greyjoy,Neg,-0.2,0.6,05/11/2019 23:22:59,rt lovelysophiet sansa stark saying goodbye to theon greyjoy florence http co 4nnie39zaq
"Had no idea Theon Greyjoy is in John Wick, but in Reek form.",05/11/2019,Theo Greyjoy,Neu,0.0,0.0,05/11/2019 23:22:56,had no idea theon greyjoy is in john wick but in reek form
@OriginalFunko why was Theon Greyjoy never made? Will we get him in the future?,05/11/2019,Theo Greyjoy,Neu,0.0,0.125,05/11/2019 23:21:22,originalfunko why wa theon greyjoy never made will we get him in the future
RT @sarahsmotherman: Why my dog look like Theon Greyjoy https://t.co/6bO7mYCGsG,05/11/2019,Theo Greyjoy,Neu,0.0,0.0,05/11/2019 23:10:46,rt sarahsmotherman why my dog look like theon greyjoy http co 6bo7mycgsg
Why my dog look like Theon Greyjoy https://t.co/6bO7mYCGsG,05/11/2019,Theo Greyjoy,Neu,0.0,0.0,05/11/2019 23:08:39,why my dog look like theon greyjoy http co 6bo7mycgsg
"RT @creaturefeear: Just when I was beginning to feel okay they hit us with this 🥺

I can’t get over it! 😭💔

#gameofthrones #TheonGreyjoy ht…",05/11/2019,Theo Greyjoy,Pos,0.625,0.5,05/11/2019 23:04:50,rt creaturefeear just when wa beginning to feel okay they hit u with this can get over it gameofthrones theongreyjoy ht
"RT @SaraESamora: @LoTheCat #LyannaMormont got me motivated. She fought and died for the North.
🐻
I bawled when her cousin, #Jorah, died. He…",05/11/2019,Theo Greyjoy,Neu,0.0,0.0,05/11/2019 23:04:40,rt saraesamora lothecat lyannamormont got me motivated she fought and died for the north bawled when her cousin jorah died he
"She never told him she loved him the same as any other Stark Brother ;________;
Theon Greyjoy-Stark. 
Sophie acts t… https://t.co/Yekw1GOCp2",05/11/2019,Theo Greyjoy,Pos,0.09374999999999999,0.475,05/11/2019 22:56:59,she never told him she loved him the same a any other stark brother ________ theon greyjoy stark sophie act http co yekw1gocp2
RT @lovelysophiet: · · ✹ Sansa Stark saying goodbye to Theon Greyjoy + Florence. https://t.co/4nnie39ZAq,05/11/2019,Theo Greyjoy,Neg,-0.2,0.6,05/11/2019 22:55:09,rt lovelysophiet sansa stark saying goodbye to theon greyjoy florence http co 4nnie39zaq
"I don’t think I’ve ever seen on screen torture worst than Theon Greyjoy’s. Even after all his fukery, I’m starting to feel sorry for him",05/11/2019,Theo Greyjoy,Neg,-0.5,0.7000000000000001,05/11/2019 22:46:41,i don think ve ever seen on screen torture worst than theon greyjoy even after all his fukery m starting to feel sorry for him
