text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
tyrion lannister rlly did just piss off the side of the wall and then immediately shake jon snow's hand afterwards men r evil,05/11/2019,TyrionLannister,Neg,-1.0,1.0,05/11/2019 23:59:58,tyrion lannister rlly did just piss off the side of the wall and then immediately shake jon snow hand afterwards men evil
"RT @raphael_amuri: Tyrion Lannister 😂😂😂😂

Y'all should watch this 😀

#GOT
#GameofThrones https://t.co/a8SeAiVDDm",05/11/2019,TyrionLannister,Neu,0.0,0.0,05/11/2019 23:52:28,rt raphael_amuri tyrion lannister all should watch this got gameofthrones http co a8seaivddm
"lmaooo why I walk into the kitchen at work and here ""just fucking put Tyrion Lannister in a catapult""",05/11/2019,TyrionLannister,Neg,-0.6,0.8,05/11/2019 23:51:03,lmaooo why walk into the kitchen at work and here just fucking put tyrion lannister in catapult
"RT @raphael_amuri: Tyrion Lannister 😂😂😂😂

Y'all should watch this 😀

#GOT
#GameofThrones https://t.co/a8SeAiVDDm",05/11/2019,TyrionLannister,Neu,0.0,0.0,05/11/2019 23:48:36,rt raphael_amuri tyrion lannister all should watch this got gameofthrones http co a8seaivddm
"RT @Skelekorgi: ""Never forget what you are. The rest of the world will not. Wear it like armor, and it can never be used to hurt you.” -- T…",05/11/2019,TyrionLannister,Neu,0.0,0.0,05/11/2019 23:47:27,rt skelekorgi never forget what you are the rest of the world will not wear it like armor and it can never be used to hurt you
"RT @raphael_amuri: Tyrion Lannister 😂😂😂😂

Y'all should watch this 😀

#GOT
#GameofThrones https://t.co/a8SeAiVDDm",05/11/2019,TyrionLannister,Neu,0.0,0.0,05/11/2019 23:47:22,rt raphael_amuri tyrion lannister all should watch this got gameofthrones http co a8seaivddm
"RT @raphael_amuri: Tyrion Lannister 😂😂😂😂

Y'all should watch this 😀

#GOT
#GameofThrones https://t.co/a8SeAiVDDm",05/11/2019,TyrionLannister,Neu,0.0,0.0,05/11/2019 23:45:48,rt raphael_amuri tyrion lannister all should watch this got gameofthrones http co a8seaivddm
"Tyrion Lannister, Klaus Hargreeves, Beast Boy https://t.co/ZKNz4frP9T",05/11/2019,TyrionLannister,Neu,0.0,0.0,05/11/2019 23:41:50,tyrion lannister klaus hargreeves beast boy http co zknz4frp9t
"RT @raphael_amuri: Tyrion Lannister 😂😂😂😂

Y'all should watch this 😀

#GOT
#GameofThrones https://t.co/a8SeAiVDDm",05/11/2019,TyrionLannister,Neu,0.0,0.0,05/11/2019 23:41:28,rt raphael_amuri tyrion lannister all should watch this got gameofthrones http co a8seaivddm
"@Wizards_DnD Snorri Stonespeaker is Mister Miracle, Tyrion Lannister, and Indiana Jones",05/11/2019,TyrionLannister,Neu,0.0,0.0,05/11/2019 23:35:22,wizards_dnd snorri stonespeaker is mister miracle tyrion lannister and indiana jones
