text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.8,0.4,05/11/2019 23:59:45,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.8,0.4,05/11/2019 23:59:33,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"DRACARYS!
#dragons #streetart #streetarttoronto #spadina #toronto @ Kensington Market In Toronto https://t.co/gSJ8wqmm6G",05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/11/2019 23:59:26,dracarys dragon streetart streetarttoronto spadina toronto kensington market in toronto http co gsj8wqmm6g
RT @ClamsAndCockles: They don’t call her Courtside Khaleesi for nothing. https://t.co/6Q9rNzlztK,05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/11/2019 23:59:18,rt clamsandcockles they don call her courtside khaleesi for nothing http co 6q9rnzlztk
@kins__khaleesi @readsalot2311 That varies by state. Roe v Wade said abortion was legal but left some latitude to states.,05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.1,0.1,05/11/2019 23:59:12,kins__khaleesi readsalot2311 that varies by state roe wade said abortion wa legal but left some latitude to state
@Get_Jolted Whaooo I’ll be stopping by my guy !!!,05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/11/2019 23:59:04,get_jolted whaooo ll be stopping by my guy
RT @Get_Jolted: https://t.co/tG4sRUaM9W Going live a bit early at 7 PM Central. More #MK11 ranked sets. The Uprise squad may be joining in…,05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.18409090909090908,0.3875,05/11/2019 23:58:50,rt get_jolted http co tg4sruam9w going live bit early at 7 pm central more mk11 ranked set the uprise squad may be joining in
"@hughesytweets Heya, no word on this one just yet but we've given it a nudge for you :) -Daenerys Targaryen🐉",05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.5,1.0,05/11/2019 23:58:44,hughesytweets heya no word on this one just yet but we ve given it nudge for you daenerys targaryen
"@SavouryNicodeme @homphs *Dracarys* 
I like mine well done :P",05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.75,1.0,05/11/2019 23:58:37,savourynicodeme homphs dracarys like mine well done p
RT @micohalili: Everything about this is perfect. Danaerys. The coffee cup. Khaleesi’s titles. Everything. Perfect 😂 https://t.co/ZC2E8NDsas,05/11/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,1.0,1.0,05/11/2019 23:58:34,rt micohalili everything about this is perfect danaerys the coffee cup khaleesi title everything perfect http co zc2e8ndsas
Will #Khaleesi honor #MothersDay by announcing she’s pregnant with her nephew’s baby? #GameOfThrones… https://t.co/HbBPX4SlTx,05/12/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.3333333333333333,0.5,05/12/2019 23:59:59,will khaleesi honor mothersday by announcing she pregnant with her nephew baby gameofthrones http co hbbpx4sltx
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/12/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.8,0.4,05/12/2019 23:59:55,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @Iadytargaryen: i've supported daenerys targaryen since the very first episode, and no matter what happens tomorrow, i'll always love he…",05/12/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.4125,0.5166666666666666,05/12/2019 23:59:54,rt iadytargaryen ve supported daenerys targaryen since the very first episode and no matter what happens tomorrow ll always love he
"RT @BenjaminDewey: I'm staying off twitter but I made this comic and it might not mean much after tonight so here you go, internet. More co…",05/12/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.2765625,0.471875,05/12/2019 23:59:51,rt benjamindewey m staying off twitter but made this comic and it might not mean much after tonight so here you go internet more co
"RT @TMillertown: ⁉️Will Cersei die tonight or next Sunday during the series finally!⁉️  

Vote below and even leave a comment of your throu…",05/12/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/12/2019 23:59:51,rt tmillertown will cersei die tonight or next sunday during the series finally vote below and even leave comment of your throu
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/12/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.8,0.4,05/12/2019 23:59:43,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @budlight: “I don’t like Bud Light”

Us: Dracarys

              |\_ /|        
            /   0 \0\
        |\ |      \_\_ 
        |…",05/12/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.4,0.7,05/12/2019 23:59:43,rt budlight don like bud light u dracarys _ 0 0 _ _
@GabiAvila98 Dracarys,05/12/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/12/2019 23:59:42,gabiavila98 dracarys
"RT @daenerysthor: rip to daenerys targaryen. she’s not dead yet, but she will be after tonight’s episode. https://t.co/nPYJMaDKhD",05/12/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.1,0.4,05/12/2019 23:59:40,rt daenerysthor rip to daenerys targaryen she not dead yet but she will be after tonight episode http co npyjmadkhd
