text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
Mansion pool party at 2 💃🏻💃🏻💃🏻,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:35:33,mansion pool party at 2
RT @gulzaarAvi: :) Follow everyøne that Likes this! 🎙️ 💘 💕,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.625,1.0,05/18/2019 19:35:31,rt gulzaaravi follow everyøne that like this
RT @1dffxhelp: follow everyone who rts &amp; likes this ✅,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:35:23,rt 1dffxhelp follow everyone who rts amp like this
RT @starkrings: jaime lannister charging at daenerys targaryen set to “old town road” https://t.co/F7J0ttIAm8,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.1,0.2,05/18/2019 19:35:23,rt starkrings jaime lannister charging at daenerys targaryen set to old town road http co f7j0ttiam8
RT @ffxtrick: Follow everyone who Likes and Retweets this 🌼,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:35:13,rt ffxtrick follow everyone who like and retweets this
'Britain's Daenerys Targaryen' slaughtered civilians and burnt conquered cities https://t.co/bUOMRahNDP https://t.co/6w7Bo2fzWg,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:34:51,britain daenerys targaryen slaughtered civilian and burnt conquered city http co buomrahndp http co 6w7bo2fzwg
RT @apiecebyguy: Jon Snow training for Daenerys Targaryen https://t.co/Zg7xvENnlr,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:34:38,rt apiecebyguy jon snow training for daenerys targaryen http co zg7xvennlr
@Efrancoloor Dracarys https://t.co/GINQqHSi7g,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:34:19,efrancoloor dracarys http co ginqqhsi7g
i just saw someone get a dracarys tattoo. I SCREAMED WHY,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:34:12,i just saw someone get dracarys tattoo screamed why
"RT @thronesfacts: Daenerys Targaryen: Queen of the Ashes

#GameofThrones https://t.co/nXCTeXVZfp",05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:34:01,rt thronesfacts daenerys targaryen queen of the ash gameofthrones http co nxctexvzfp
"RT @asr3followoc: How Many Followers You Want?
1000 Retweet ❤️ 1000 Followers
2000 Retweet ❤️ 2000 Followers
3000 Retweet ❤️ 3000 Followers…",05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.5,0.5,05/18/2019 19:33:57,rt asr3followoc how many follower you want 1000 retweet 1000 follower 2000 retweet 2000 follower 3000 retweet 3000 follower
"RT @realjoebobo: Let's make new Friends 

Follow everyone who Likes and Retweet this",05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.13636363636363635,0.45454545454545453,05/18/2019 19:33:51,rt realjoebobo let make new friend follow everyone who like and retweet this
"RT @Igbtdany: interviewer: sansa hasn’t lost her shit. arya hasn’t lost her shit. it’s the arc of dany’s character...

not on daenerys targ…",05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neg,-0.2,0.8,05/18/2019 19:33:49,rt igbtdany interviewer sansa hasn lost her shit arya hasn lost her shit it the arc of dany character not on daenerys targ
"RT @BullyFreeBC: Beating the blues with blues: Rita Chiarelli takes music and salvation to imprisoned women | "" ... in this darkness what I…",05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:33:31,rt bullyfreebc beating the blue with blue rita chiarelli take music and salvation to imprisoned woman in this darkness what
"RT @GainVVIP: Hello Tweeps😇
Gain 700+ Real Actives Quick worldwide💚

🚩 Retweet Fast ♥️
🚩 Follow everyone
🚩 Follow back 💯
🚩 Follow me ⏹
🚩 Re…",05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.18333333333333335,0.35,05/18/2019 19:33:25,rt gainvvip hello tweeps gain 700 real active quick worldwide retweet fast follow everyone follow back follow me re
@ToniKuyinu Dracarys,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:33:20,tonikuyinu dracarys
"""Let it be fear."" -#DaenerysTargaryen 

(via @GameOfThrones | @RobertMBall) https://t.co/PkdPurJYH0",05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:33:20,let it be fear daenerystargaryen via gameofthrones robertmball http co pkdpurjyh0
#AddGOTImproveAnything Dracarys and bad decisions https://t.co/DQsFKyXRhp,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neg,-0.6999999999999998,0.6666666666666666,05/18/2019 19:33:16,addgotimproveanything dracarys and bad decision http co dqsfkyxrhp
RT @Hugofv82: @Mourinhismo1902 Dracarys!! 🔥🔥🔥🐲,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:33:15,rt hugofv82 mourinhismo1902 dracarys
RT @plushybizzle: follow everyone that likes and retweets this to gain new followers. 💧,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Pos,0.13636363636363635,0.45454545454545453,05/18/2019 19:33:12,rt plushybizzle follow everyone that like and retweets this to gain new follower
@dog_rates I give Bailey a 14/10 https://t.co/t55MIkgDbm,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:33:05,dog_rates give bailey 14 10 http co t55mikgdbm
RT @apiecebyguy: Jon Snow training for Daenerys Targaryen https://t.co/Zg7xvENnlr,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:32:57,rt apiecebyguy jon snow training for daenerys targaryen http co zg7xvennlr
@Mourinhismo1902 Dracarys!! 🔥🔥🔥🐲,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:32:54,mourinhismo1902 dracarys
Dracarys bitches https://t.co/y0yLk295Ti,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:32:54,dracarys bitch http co y0ylk295ti
RT @ffxtrick: Follow everyone who Likes this 🌹,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:32:53,rt ffxtrick follow everyone who like this
RT @rizickyusuph1: follow everyone who LIKES this🎈,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:32:49,rt rizickyusuph1 follow everyone who like this
"RT @Dieg0Portillo: Let's meet each other ☺🕺.

1K RT =1K Followers
2K RT =2K Followers
3K RT =3K Followers
4K RT =4K Followers
5K RT =5K Fol…",05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neg,-0.125,0.375,05/18/2019 19:32:48,rt dieg0portillo let meet each other 1k rt 1k follower 2k rt 2k follower 3k rt 3k follower 4k rt 4k follower 5k rt 5k fol
@BMeinl Dracarys.,05/18/2019,"#khaleesi OR #DaenerysTargaryen OR #Dracarys OR ""khaleesi"" OR ""Daenerys Targaryen"" OR ""Dracarys""",Neu,0.0,0.0,05/18/2019 19:31:54,bmeinl dracarys
