text,date,char,sentiment,polarity,subjectivity,timestamp,Preprocess
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:59:45,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:59:33,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"DRACARYS!
#dragons #streetart #streetarttoronto #spadina #toronto @ Kensington Market In Toronto https://t.co/gSJ8wqmm6G",05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:59:26,dracarys dragon streetart streetarttoronto spadina toronto kensington market in toronto http co gsj8wqmm6g
RT @ClamsAndCockles: They don’t call her Courtside Khaleesi for nothing. https://t.co/6Q9rNzlztK,05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:59:18,rt clamsandcockles they don call her courtside khaleesi for nothing http co 6q9rnzlztk
@kins__khaleesi @readsalot2311 That varies by state. Roe v Wade said abortion was legal but left some latitude to states.,05/11/2019,Khaleesi,Pos,0.1,0.1,05/11/2019 23:59:12,kins__khaleesi readsalot2311 that varies by state roe wade said abortion wa legal but left some latitude to state
@Get_Jolted Whaooo I’ll be stopping by my guy !!!,05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:59:04,get_jolted whaooo ll be stopping by my guy
RT @Get_Jolted: https://t.co/tG4sRUaM9W Going live a bit early at 7 PM Central. More #MK11 ranked sets. The Uprise squad may be joining in…,05/11/2019,Khaleesi,Pos,0.18409090909090908,0.3875,05/11/2019 23:58:50,rt get_jolted http co tg4sruam9w going live bit early at 7 pm central more mk11 ranked set the uprise squad may be joining in
"@hughesytweets Heya, no word on this one just yet but we've given it a nudge for you :) -Daenerys Targaryen🐉",05/11/2019,Khaleesi,Pos,0.5,1.0,05/11/2019 23:58:44,hughesytweets heya no word on this one just yet but we ve given it nudge for you daenerys targaryen
"@SavouryNicodeme @homphs *Dracarys* 
I like mine well done :P",05/11/2019,Khaleesi,Pos,0.75,1.0,05/11/2019 23:58:37,savourynicodeme homphs dracarys like mine well done p
RT @micohalili: Everything about this is perfect. Danaerys. The coffee cup. Khaleesi’s titles. Everything. Perfect 😂 https://t.co/ZC2E8NDsas,05/11/2019,Khaleesi,Pos,1.0,1.0,05/11/2019 23:58:34,rt micohalili everything about this is perfect danaerys the coffee cup khaleesi title everything perfect http co zc2e8ndsas
"THIS WHOLE THREAD RIGHT HERE!! YES YES YES!! 
#GameofThrones #Dracarys https://t.co/YDms7ZUzuV",05/11/2019,Khaleesi,Pos,0.4487723214285714,0.46785714285714286,05/11/2019 23:58:32,this whole thread right here yes yes yes gameofthrones dracarys http co ydms7zuzuv
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:57:58,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @17thsuspect_: If Stephen Curry don't leave his big forehead jealous having ass, huge eyes having ass, only good in the kitchen ass but…",05/11/2019,Khaleesi,Pos,0.275,0.65,05/11/2019 23:57:53,rt 17thsuspect_ if stephen curry don leave his big forehead jealous having as huge eye having as only good in the kitchen as but
https://t.co/tG4sRUaM9W Going live a bit early at 7 PM Central. More #MK11 ranked sets. The Uprise squad may be joi… https://t.co/Hf5dUc9SR2,05/11/2019,Khaleesi,Pos,0.18409090909090908,0.3875,05/11/2019 23:57:41,http co tg4sruam9w going live bit early at 7 pm central more mk11 ranked set the uprise squad may be joi http co hf5duc9sr2
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:57:34,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:57:25,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:57:21,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @GameOfThrones: Dracarys. 
View the Beautiful Death for ""The Last of the Starks"" by @RobertMBall for the final season of #GameofThrones:…",05/11/2019,Khaleesi,Pos,0.2833333333333333,0.6888888888888888,05/11/2019 23:56:51,rt gameofthrones dracarys view the beautiful death for the last of the starks by robertmball for the final season of gameofthrones
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:56:50,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:56:47,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
"RT @GameOfThrones: Dracarys. 
View the Beautiful Death for ""The Last of the Starks"" by @RobertMBall for the final season of #GameofThrones:…",05/11/2019,Khaleesi,Pos,0.2833333333333333,0.6888888888888888,05/11/2019 23:56:42,rt gameofthrones dracarys view the beautiful death for the last of the starks by robertmball for the final season of gameofthrones
RT @vlrdracarys: i'm immensely proud of them. #GameofThrones #DaenerysTargaryen https://t.co/cDQRzK72SB,05/11/2019,Khaleesi,Pos,0.8,1.0,05/11/2019 23:56:26,rt vlrdracarys m immensely proud of them gameofthrones daenerystargaryen http co cdqrzk72sb
"@JamieMallister ""We have heard of Daenerys Targaryen. She never had anything to do with us. We were already free. W… https://t.co/sr77gTGhvs",05/11/2019,Khaleesi,Pos,0.4,0.8,05/11/2019 23:55:51,jamiemallister we have heard of daenerys targaryen she never had anything to do with u we were already free http co sr77gtghvs
RT @micohalili: Everything about this is perfect. Danaerys. The coffee cup. Khaleesi’s titles. Everything. Perfect 😂 https://t.co/ZC2E8NDsas,05/11/2019,Khaleesi,Pos,1.0,1.0,05/11/2019 23:55:38,rt micohalili everything about this is perfect danaerys the coffee cup khaleesi title everything perfect http co zc2e8ndsas
"RT @joemurph: Some more Game of Thrones baby names from 2018 that didn't make the first list:
Khaleesi: 560
Lyanna: 319
Renly: 102
Nymeria:…",05/11/2019,Khaleesi,Pos,0.11666666666666665,0.41111111111111115,05/11/2019 23:55:35,rt joemurph some more game of throne baby name from 2018 that didn make the first list khaleesi 560 lyanna 319 renly 102 nymeria
Dracarys https://t.co/NycFyHVfCQ,05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:55:34,dracarys http co nycfyhvfcq
RT @micohalili: Everything about this is perfect. Danaerys. The coffee cup. Khaleesi’s titles. Everything. Perfect 😂 https://t.co/ZC2E8NDsas,05/11/2019,Khaleesi,Pos,1.0,1.0,05/11/2019 23:55:30,rt micohalili everything about this is perfect danaerys the coffee cup khaleesi title everything perfect http co zc2e8ndsas
"RT @GameOfThrones: Dracarys. 
View the Beautiful Death for ""The Last of the Starks"" by @RobertMBall for the final season of #GameofThrones:…",05/11/2019,Khaleesi,Pos,0.2833333333333333,0.6888888888888888,05/11/2019 23:55:00,rt gameofthrones dracarys view the beautiful death for the last of the starks by robertmball for the final season of gameofthrones
"@belispoke Daenerys Targaryen is going to go back in time and just live out her life like “whatever, this is fine”.",05/11/2019,Khaleesi,Pos,0.18434343434343434,0.3333333333333333,05/11/2019 23:54:54,belispoke daenerys targaryen is going to go back in time and just live out her life like whatever this is fine
RT @missnemmanuel: “Dracarys”,05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:54:48,rt missnemmanuel dracarys
"@barklysaints Heya, are you getting an f106 message by any chance? If so, please send us your post code so we can s… https://t.co/L56tWAQWee",05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:54:25,barklysaints heya are you getting an f106 message by any chance if so please send u your post code so we can http co l56twaqwee
RT @missnemmanuel: “Dracarys”,05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:53:59,rt missnemmanuel dracarys
RT @DanyUnburnt: DRACARYS 🔥 https://t.co/zUC75jUH9B,05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:53:58,rt danyunburnt dracarys http co zuc75juh9b
"This Khaleesi, Daenerys and Daaryo scene is wildly awkward",05/11/2019,Khaleesi,Neg,-0.6,1.0,05/11/2019 23:53:51,this khaleesi daenerys and daaryo scene is wildly awkward
RT @micohalili: Everything about this is perfect. Danaerys. The coffee cup. Khaleesi’s titles. Everything. Perfect 😂 https://t.co/ZC2E8NDsas,05/11/2019,Khaleesi,Pos,1.0,1.0,05/11/2019 23:53:47,rt micohalili everything about this is perfect danaerys the coffee cup khaleesi title everything perfect http co zc2e8ndsas
"@KeviSkillz Get this one, because you’re my Khaleesi 😻 https://t.co/6ghElp7J2M",05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:53:46,keviskillz get this one because you re my khaleesi http co 6ghelp7j2m
the cashier at Kohl’s today was talking to me about khaleesi and telling me she was adorable etc. I was loving it.… https://t.co/VZLPipvDPT,05/11/2019,Khaleesi,Pos,0.55,0.975,05/11/2019 23:53:30,the cashier at kohl today wa talking to me about khaleesi and telling me she wa adorable etc wa loving it http co vzlpipvdpt
@ThatEricAlper Dracarys,05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:53:19,thatericalper dracarys
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:53:10,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
Who will win Game of Thrones? Our predictions     - CNET https://t.co/iroZbFY77E,05/11/2019,Khaleesi,Pos,0.2,0.4,05/11/2019 23:53:06,who will win game of throne our prediction cnet http co irozbfy77e
"@His_Khaleesi Mean to say BF....
🥰🥰🥰",05/11/2019,Khaleesi,Neg,-0.3125,0.6875,05/11/2019 23:53:00,his_khaleesi mean to say bf
"RT @Xbox: Dracarys.

RT for a chance to win a Targaryen Xbox One S All-Digital Edition console. Head to Facebook for a shot at the Night Ki…",05/11/2019,Khaleesi,Pos,0.8,0.4,05/11/2019 23:52:52,rt xbox dracarys rt for chance to win targaryen xbox one all digital edition console head to facebook for shot at the night ki
@EmilyIsMorte Omg Emily no,05/11/2019,Khaleesi,Neu,0.0,0.0,05/11/2019 23:52:23,emilyismorte omg emily no
